author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Алла Шмелева,realtor,https://khimki.cian.ru/sale/flat/296180500/,Химки,sale,flat,13,18,1,42.0,7050000.0,,Первомайская ,59,Сходня,Первомайский(Химки)
Максим Фомичев,realtor,https://khimki.cian.ru/sale/flat/308910935/,Химки,sale,flat,5,5,2,44.2,7600000.0,,Юбилейный проспект,42,Химки,
ЖилСтрой,developer,https://khimki.cian.ru/sale/flat/302836942/,Химки,sale,flat,2,6,2,63.55,19691984.0,,,,Планерная,Планерный квартал ЖК
РЕАЛЬНАЯ НЕДВИЖИМОСТЬ,real_estate_agent,https://khimki.cian.ru/sale/flat/302507305/,Химки,sale,flat,6,6,1,44.9,6400000.0,, Папанина,38к2,Сходня,
Рида,real_estate_agent,https://khimki.cian.ru/sale/flat/305188334/,Химки,sale,flat,2,5,2,42.8,7300000.0,, Маяковского,26,Химки,
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557288/,Химки,sale,flat,8,8,3,60.8,12611825.0,, Генерала Дьяконова,9,Водники,Rafinad
Диос Недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/301160135/,Химки,sale,flat,7,10,1,30.8,6900000.0,, Германа Титова,2к1,Молжаниново,Солнечная система
МИЭЛЬ офис Зеленоград,real_estate_agent,https://khimki.cian.ru/sale/flat/303108033/,Химки,sale,flat,5,5,2,45.3,5700000.0,,Речная ,12А,Фирсановская,
СИТИ21,developer,https://khimki.cian.ru/sale/flat/302792907/,Химки,sale,flat,8,8,2,46.8,8326218.0,, Генерала Дьяконова,6,Водники,Rafinad
ИНКОМ-Недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/308612701/,Химки,sale,flat,2,9,1,33.9,7700000.0,,Молодежная ,20,Химки,
1-й ДСК,developer,https://khimki.cian.ru/sale/flat/307968618/,Химки,sale,flat,16,17,2,53.5,13027250.0,,,,Подрезково,1-й Шереметьевский
Риэлти-Город,real_estate_agent,https://khimki.cian.ru/sale/flat/307134888/,Химки,sale,flat,5,5,1,31.1,5200000.0,мкр. Подрезково, Новозаводская,5,,
Наталья Иванова,realtor,https://khimki.cian.ru/sale/flat/307183115/,Химки,sale,flat,4,5,2,35.0,6500000.0,, Мичурина,21,Химки,
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557351/,Химки,sale,flat,6,8,1,40.1,8107033.0,, Генерала Дьяконова,9,Водники,Rafinad
Ильдар Фаткуллин,realtor,https://khimki.cian.ru/sale/flat/307958016/,Химки,sale,flat,16,17,1,34.4,7650000.0,, Имени К.И. Вороницына,1к1,Химки,Две столицы
Валерий Костин,realtor,https://khimki.cian.ru/sale/flat/308445345/,Химки,sale,flat,3,5,1,32.2,6600000.0,, Зои Космодемьянской,3,Химки,
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557070/,Химки,sale,flat,7,8,1,39.1,9477838.0,, Генерала Дьяконова,7,Водники,Rafinad
Самолет Плюс - Химки 01,real_estate_agent,https://khimki.cian.ru/sale/flat/307303893/,Химки,sale,flat,7,9,2,43.0,7600000.0,,Юбилейный проспект,78,Молжаниново,
,,https://khimki.cian.ru/sale/flat/300605443/,Химки,sale,flat,8,21,2,48.6,11019008.0,, Имени К.И. Вороницына,18к1,Химки,Две столицы
1-й ДСК,developer,https://khimki.cian.ru/sale/flat/300078560/,Химки,sale,flat,17,17,2,56.9,12887850.0,,,,Подрезково,1-й Шереметьевский
Александр Петров,realtor,https://khimki.cian.ru/sale/flat/307970680/,Химки,sale,flat,5,5,2,46.0,5300000.0,,Горная ,24,Сходня,
Бюро Недвижимости Профи,real_estate_agent,https://khimki.cian.ru/sale/flat/306156918/,Химки,sale,flat,5,5,2,45.0,7200000.0,, Гоголя,12А,Химки,
ЖилСтрой,developer,https://khimki.cian.ru/sale/flat/302837248/,Химки,sale,flat,1,17,3,74.72,21716846.0,,,,Планерная,Планерный квартал ЖК
ДИАЛЬ-НЕДВИЖИМОСТЬ,real_estate_agent,https://khimki.cian.ru/sale/flat/308417012/,Химки,sale,flat,11,14,1,42.2,7490000.0,, 1-я Лесная,2,Подрезково,Подрезково
ЕГСН Продажа,real_estate_agent,https://khimki.cian.ru/sale/flat/302795065/,Химки,sale,flat,9,17,2,55.0,7500000.0,,Железнодорожная ,33к1,Сходня,Авентин
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557173/,Химки,sale,flat,8,8,3,60.0,12678853.0,, Генерала Дьяконова,7,Водники,Rafinad
Империя,real_estate_agent,https://khimki.cian.ru/sale/flat/297395487/,Химки,sale,flat,3,8,1,37.9,7000000.0,,проезд Набережный,6,Шереметьевская,Город набережных
Анна Смирнова,realtor,https://khimki.cian.ru/sale/flat/300299689/,Химки,sale,flat,2,8,2,44.7,7700000.0,, Летчика Ивана Федорова,3к2,Шереметьевская,Город набережных
СИТИ21,developer,https://khimki.cian.ru/sale/flat/308735513/,Химки,sale,flat,8,8,3,60.4,12476188.0,, Генерала Дьяконова,13,Водники,Rafinad
Татьяна Антонова,realtor,https://khimki.cian.ru/sale/flat/306300502/,Химки,sale,flat,11,18,2,50.0,8100000.0,, Германа Титова,6,Химки,Солнечная система
НДВ,real_estate_agent,https://khimki.cian.ru/sale/flat/307012557/,Химки,sale,flat,5,17,1,33.2,6400000.0,,Железнодорожная ,33к1,Сходня,Авентин
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557709/,Химки,sale,flat,8,8,2,45.3,10399480.0,, Генерала Дьяконова,6,Водники,Rafinad
МИЭЛЬ Офис Пречистенка,real_estate_agent,https://khimki.cian.ru/sale/flat/308399568/,Химки,sale,flat,6,9,1,36.4,6800000.0,, Новозаводская,7,Новоподрезково,
Метриум Премиум - отдел вторичной недвижимости,real_estate_agent,https://khimki.cian.ru/sale/flat/303901886/,Химки,sale,flat,8,12,2,51.0,7000000.0,, Мичурина,26,Сходня,
1-й ДСК,developer,https://khimki.cian.ru/sale/flat/303826078/,Химки,sale,flat,4,11,1,34.2,8700480.0,,,,Подрезково,1-й Шереметьевский
Елена Урядникова,realtor,https://khimki.cian.ru/sale/flat/305445278/,Химки,sale,flat,16,16,1,44.0,6700000.0,,Вишневая ,14,Сходня,
МИЭЛЬ,real_estate_agent,https://khimki.cian.ru/sale/flat/306798901/,Химки,sale,flat,1,9,1,57.0,7500000.0,,Овражная ,4,Сходня,На Овражной
СИТИ21,developer,https://khimki.cian.ru/sale/flat/305511715/,Химки,sale,flat,8,8,1,32.6,8600747.0,, Генерала Дьяконова,15,Водники,Rafinad
ОГРК,real_estate_agent,https://khimki.cian.ru/sale/flat/306939775/,Химки,sale,flat,12,17,1,37.0,5950000.0,, 1-я Лесная,4,Подрезково,
ЖилСтрой,developer,https://khimki.cian.ru/sale/flat/302837262/,Химки,sale,flat,17,17,2,54.91,17464579.0,,,,Планерная,Планерный квартал ЖК
Сергей Иванов,realtor,https://khimki.cian.ru/sale/flat/305865389/,Химки,sale,flat,5,9,2,48.2,8200000.0,,Молодежная ,16/12,Химки,
Бест-Химки,real_estate_agent,https://khimki.cian.ru/sale/flat/306062311/,Химки,sale,flat,11,14,2,45.0,7500000.0,,Юбилейный проспект,8,Химки,
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557624/,Химки,sale,flat,7,8,2,47.4,10976417.0,, Генерала Дьяконова,15,Водники,Rafinad
Империя,real_estate_agent,https://khimki.cian.ru/sale/flat/308160847/,Химки,sale,flat,4,5,2,45.0,7900000.0,, Ватутина,1,Химки,
НАТАНИЭЛЬ,real_estate_agent,https://khimki.cian.ru/sale/flat/302480698/,Химки,sale,flat,6,9,-1,44.4,1800000.0,,Куркинское шоссе,24,Химки,
СИТИ21,developer,https://khimki.cian.ru/sale/flat/306859067/,Химки,sale,flat,4,8,1,45.6,9916625.0,, Генерала Дьяконова,1,Водники,Rafinad
Leto Estate,real_estate_agent,https://khimki.cian.ru/sale/flat/301211465/,Химки,sale,flat,4,7,2,58.0,8200000.0,, Генерала Дьяконова,4,Шереметьевская,
ЕГСН Продажа,real_estate_agent,https://khimki.cian.ru/sale/flat/292205634/,Химки,sale,flat,5,9,1,31.6,6350000.0,,Юбилейный проспект,35,Химки,
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557168/,Химки,sale,flat,8,8,2,44.9,8994550.0,, Генерала Дьяконова,7,Водники,Rafinad
Игорь Леонтьев,realtor,https://khimki.cian.ru/sale/flat/299018639/,Химки,sale,flat,5,9,2,33.8,7100000.0,, Гоголя,9,Химки,
Триумфальная Арка,real_estate_agent,https://khimki.cian.ru/sale/flat/304953900/,Химки,sale,flat,5,5,1,30.1,6300000.0,, Мичурина,4,Химки,
Самолет,developer,https://khimki.cian.ru/sale/flat/308652768/,Химки,sale,flat,8,17,1,32.39,5945627.0,,,,Хлебниково,Квартал Ивакино ЖК
АССА,real_estate_agent,https://khimki.cian.ru/sale/flat/307229150/,Химки,sale,flat,3,9,2,44.0,6950000.0,, Дружбы,10,Молжаниново,
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557596/,Химки,sale,flat,8,8,3,61.5,12774401.0,, Генерала Дьяконова,15,Водники,Rafinad
Метражи Плюс,real_estate_agent,https://khimki.cian.ru/sale/flat/305871519/,Химки,sale,flat,10,25,1,42.0,7700000.0,мкр. Новые Химки,Молодежная ,76,,
Владис,real_estate_agent,https://khimki.cian.ru/sale/flat/307850390/,Химки,sale,flat,9,17,1,36.0,6400000.0,, Германа Титова,10,Молжаниново,Солнечная система
СИТИ21,developer,https://khimki.cian.ru/sale/flat/299621996/,Химки,sale,flat,7,8,2,52.7,11828585.0,, Генерала Дьяконова,15,Водники,Rafinad
Нурия Фархутдинова,realtor,https://khimki.cian.ru/sale/flat/306930904/,Химки,sale,flat,5,8,2,57.0,8216550.0,, Береговая,6,Шереметьевская,
НДВ,real_estate_agent,https://khimki.cian.ru/sale/flat/308506408/,Химки,sale,flat,1,8,1,49.8,6324102.0,, Береговая,6,Шереметьевская,Берег
СИТИ21,developer,https://khimki.cian.ru/sale/flat/294557674/,Химки,sale,flat,8,8,1,38.8,8210233.0,, Генерала Дьяконова,11,Водники,Rafinad
ИНКОМ-Недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/306654448/,Химки,sale,flat,12,17,1,29.1,6260000.0,, Германа Титова,10А,Молжаниново,Солнечная система
Евгений Нефедов,realtor,https://khimki.cian.ru/sale/flat/298294203/,Химки,sale,flat,2,3,1,30.0,6499000.0,, Чкалова,3,Химки,
Наталья Ворожейкина,realtor,https://khimki.cian.ru/sale/flat/303956736/,Химки,sale,flat,7,8,1,33.0,6350000.0,мкр. Клязьма-Старбеево, Генерала Дьяконова,4,,
НДВ,real_estate_agent,https://khimki.cian.ru/sale/flat/308760166/,Химки,sale,flat,2,8,2,49.1,6468925.0,, Береговая,6,Шереметьевская,Берег
НДВ,real_estate_agent,https://khimki.cian.ru/sale/flat/308498776/,Химки,sale,flat,2,8,1,49.1,6468925.0,, Береговая,6,Шереметьевская,Берег
Евгения Чертковская,realtor,https://khimki.cian.ru/sale/flat/306176459/,Химки,sale,flat,5,8,1,31.0,6499000.0,,Овражная ,24к11,Подрезково,
ЕГСН Продажа,real_estate_agent,https://khimki.cian.ru/sale/flat/307778273/,Химки,sale,flat,1,5,2,47.4,6500000.0,,Северная ,1,Подрезково,
Империя,real_estate_agent,https://khimki.cian.ru/sale/flat/288083062/,Химки,sale,flat,6,8,1,33.0,6500000.0,,Овражная ,24к14,Подрезково,
Наталия Хлесткова,realtor,https://khimki.cian.ru/sale/flat/307111098/,Химки,sale,flat,4,12,1,35.7,6500000.0,, Мичурина,26,Сходня,
Монолит Столица,real_estate_agent,https://khimki.cian.ru/sale/flat/305840601/,Химки,sale,flat,4,17,1,41.3,6500000.0,,Железнодорожная ,33к3,Сходня,Авентин
Нелли Черноволова,realtor,https://khimki.cian.ru/sale/flat/287668142/,Химки,sale,flat,7,12,1,42.1,6500000.0,, 1-я Лесная,2,Подрезково,Подрезково
Премьер Плюс,real_estate_agent,https://khimki.cian.ru/sale/flat/306836714/,Химки,sale,flat,8,9,1,33.1,6590000.0,, Строителей,8,Химки,
Этажи Москва,real_estate_agent,https://khimki.cian.ru/sale/flat/308305266/,Химки,sale,flat,6,9,1,33.0,6600000.0,, Строителей,8,Химки,
КЛЮЧ,real_estate_agent,https://khimki.cian.ru/sale/flat/305276393/,Химки,sale,flat,2,5,1,29.6,6600000.0,,Юбилейный проспект,43,Химки,
Ольга Рустамова,realtor,https://khimki.cian.ru/sale/flat/297716590/,Химки,sale,flat,5,5,2,43.0,6600000.0,, Микояна,1/53,Сходня,
Самолет Плюс Москва,real_estate_agent,https://khimki.cian.ru/sale/flat/308002402/,Химки,sale,flat,1,17,1,36.7,6700000.0,, 1-я Лесная,4,Подрезково,
Зодчий,real_estate_agent,https://khimki.cian.ru/sale/flat/302300260/,Химки,sale,flat,16,16,1,39.6,6700000.0,,переулок 1-й Дачный,11,Сходня,
Адреса,real_estate_agent,https://khimki.cian.ru/sale/flat/306661888/,Химки,sale,flat,1,8,1,36.0,6650000.0,, Летчика Ивана Федорова,8к1,Шереметьевская,Город набережных
Светлана Железнова,realtor,https://khimki.cian.ru/sale/flat/303773126/,Химки,sale,flat,4,4,2,45.0,6700000.0,,Речная ,2,Фирсановская,
Самолет Плюс Эксперт,real_estate_agent,https://khimki.cian.ru/sale/flat/304826036/,Химки,sale,flat,1,8,1,35.7,6750000.0,, Генерала Дьяконова,15,Шереметьевская,Rafinad
Шираз Чнаваян,realtor,https://khimki.cian.ru/sale/flat/303649822/,Химки,sale,flat,2,5,1,32.5,6750000.0,, Маяковского,22,Химки,
KINS Group,real_estate_agent,https://khimki.cian.ru/sale/flat/305720441/,Химки,sale,flat,4,8,1,33.0,6750000.0,,,,Шереметьевская,
Риэлти-Город,real_estate_agent,https://khimki.cian.ru/sale/flat/295878946/,Химки,sale,flat,7,14,1,42.0,6750000.0,,Юбилейный проезд,16,Сходня,
Татьяна Попова,realtor,https://khimki.cian.ru/sale/flat/269592077/,Химки,sale,flat,9,10,1,39.0,6800000.0,, Железнодорожная,1,Новоподрезково,
Татьяна Касьянова,realtor,https://khimki.cian.ru/sale/flat/307508752/,Химки,sale,flat,2,5,2,45.3,6800000.0,, Чапаева,22/1,Сходня,
Иннокентий Манякин,realtor,https://khimki.cian.ru/sale/flat/304746876/,Химки,sale,flat,1,9,2,44.7,6800000.0,,Юбилейный проспект,33/2,Химки,
НАТАНИЭЛЬ,real_estate_agent,https://khimki.cian.ru/sale/flat/304698199/,Химки,sale,flat,14,14,2,38.5,6800000.0,,Юбилейный проспект,8,Химки,
Владис,real_estate_agent,https://khimki.cian.ru/sale/flat/307005225/,Химки,sale,flat,14,17,1,32.3,6800000.0,,,к1,Химки,Квартал Ивакино ЖК
Игорь Жмак,realtor,https://khimki.cian.ru/sale/flat/307271440/,Химки,sale,flat,5,7,1,32.5,6800000.0,,проезд Набережный,12,Шереметьевская,
Октябрьская,real_estate_agent,https://khimki.cian.ru/sale/flat/301776618/,Химки,sale,flat,5,8,1,34.0,6900000.0,, Генерала Дьяконова,5,Шереметьевская,Rafinad
Sweet Home,real_estate_agent,https://khimki.cian.ru/sale/flat/308633672/,Химки,sale,flat,1,14,1,35.4,6900000.0,,Юбилейный проспект,8,Химки,
Надежда Никитина,realtor,https://khimki.cian.ru/sale/flat/303467909/,Химки,sale,flat,4,5,2,44.3,6900000.0,,,1,Молжаниново,
Виктория Васильева,realtor,https://khimki.cian.ru/sale/flat/302074220/,Химки,sale,flat,6,9,1,38.9,6950000.0,, Жаринова,14,Подрезково,
ДОМОФОН,real_estate_agent,https://khimki.cian.ru/sale/flat/308013991/,Химки,sale,flat,15,17,1,37.6,6950000.0,, Мичурина,17,Сходня,Мичуринский квартал
Екатерина Аралова,realtor,https://khimki.cian.ru/sale/flat/298678121/,Химки,sale,flat,1,5,3,59.3,6950000.0,, Мира,3,Новоподрезково,
ИНКОМ-Недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/308358041/,Химки,sale,flat,3,5,2,44.8,7000000.0,, Тюкова,10,Сходня,
Империя,real_estate_agent,https://khimki.cian.ru/sale/flat/303598213/,Химки,sale,flat,1,5,2,40.5,7000000.0,,Пролетарская ,5,Химки,
Евгений Николаев,realtor,https://khimki.cian.ru/sale/flat/300185972/,Химки,sale,flat,1,4,2,44.0,7000000.0,,Первомайская ,28/2,Сходня,
Нина Корнеева,realtor,https://khimki.cian.ru/sale/flat/304755243/,Химки,sale,flat,9,9,2,45.0,7000000.0,, Новозаводская,3,Новоподрезково,
Любимый дом,real_estate_agent,https://khimki.cian.ru/sale/flat/293565057/,Химки,sale,flat,5,17,1,36.7,7000000.0,,,23,Молжаниново,Авиатор
Премьер Плюс,real_estate_agent,https://khimki.cian.ru/sale/flat/306841645/,Химки,sale,flat,2,16,1,36.0,7000000.0,, Микояна,23к2,Сходня,
AURUM,real_estate_agent,https://khimki.cian.ru/sale/flat/281335152/,Химки,sale,flat,3,5,2,46.1,7000000.0,, Мичурина,33,Сходненская,
Борис Светинский,realtor,https://khimki.cian.ru/sale/flat/303757736/,Химки,sale,flat,3,12,1,39.1,7050000.0,, Микояна,46,Сходня,
ИНКОМ-Недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/307097783/,Химки,sale,flat,7,17,1,30.0,7100000.0,, Имени К.И. Вороницына,1к2,Химки,Две столицы
Простор-недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/308750645/,Химки,sale,flat,17,17,1,40.2,7100000.0,,Центральная ,4к1,Подрезково,Подрезково
Простор-недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/303928915/,Химки,sale,flat,1,9,1,32.2,7100000.0,,Ленинский проспект,35к3,Химки,Лесной уголок
ДомИн,real_estate_agent,https://khimki.cian.ru/sale/flat/306941898/,Химки,sale,flat,3,7,1,34.0,7100000.0,, Летчика Ивана Федорова,8к1,Шереметьевская,Город набережных
ОГРК,real_estate_agent,https://khimki.cian.ru/sale/flat/306074290/,Химки,sale,flat,1,16,1,42.2,7200000.0,,Центральная ,4г,Подрезково,Подрезково
Елена Алексеева,realtor,https://khimki.cian.ru/sale/flat/290343097/,Химки,sale,flat,2,8,1,39.5,7200000.0,, Генерала Дьяконова,4,Шереметьевская,
Самолет Плюс,real_estate_agent,https://khimki.cian.ru/sale/flat/304698675/,Химки,sale,flat,1,5,2,42.4,7200000.0,,Кольцевая ,14,Химки,
Елена Кортукова,realtor,https://khimki.cian.ru/sale/flat/306608068/,Химки,sale,flat,4,5,2,45.6,7150000.0,, Москвина,4,Химки,
Капитал Недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/291647983/,Химки,sale,flat,6,13,1,35.2,7200000.0,, Панфилова,4,Химки,
Классика,real_estate_agent,https://khimki.cian.ru/sale/flat/306836394/,Химки,sale,flat,14,18,1,34.0,7150000.0,, Германа Титова,6,Химки,Солнечная система
Сергей Пчельников,realtor,https://khimki.cian.ru/sale/flat/308837715/,Химки,sale,flat,3,5,2,45.1,7200000.0,,Первомайская ,27А,Сходня,
МИЭЛЬ,real_estate_agent,https://khimki.cian.ru/sale/flat/306041548/,Химки,sale,flat,2,17,1,36.4,7200000.0,, Марии Рубцовой,7,Молжаниново,
МИЭЛЬ,real_estate_agent,https://khimki.cian.ru/sale/flat/307097558/,Химки,sale,flat,1,5,1,41.2,7200000.0,,Ленинградская ,9,Химки,
Оранж,real_estate_agent,https://khimki.cian.ru/sale/flat/306274488/,Химки,sale,flat,8,9,1,34.2,7200000.0,,Юбилейный проезд,6,Сходня,
Shakti Realty,real_estate_agent,https://khimki.cian.ru/sale/flat/285236121/,Химки,sale,flat,12,18,1,32.4,7150000.0,мкр. Старые Химки, Германа Титова,8,,Солнечная система
МГСН,real_estate_agent,https://khimki.cian.ru/sale/flat/306183065/,Химки,sale,flat,7,17,1,25.0,7290000.0,, Комсомольская,16к1,Подрезково,1-й Шереметьевский
Александр Филатов,realtor,https://khimki.cian.ru/sale/flat/305248948/,Химки,sale,flat,7,9,1,29.5,7250000.0,, Нахимова,14,Левобережная,
Артем Дроздов,realtor,https://khimki.cian.ru/sale/flat/306669325/,Химки,sale,flat,11,18,1,41.6,7300000.0,,Первомайская ,59,Сходня,Первомайский(Химки)
Наталья Пугачева,realtor,https://khimki.cian.ru/sale/flat/299915318/,Химки,sale,flat,5,17,1,40.4,7300000.0,, Германа Титова,3к1,Химки,Две столицы
Олег Алябьев,realtor,https://khimki.cian.ru/sale/flat/307799273/,Химки,sale,flat,15,17,1,40.0,7300000.0,мкр. Сходня,тупик 2-й Мичуринский,7к1,,
Ольга Морозова,realtor,https://khimki.cian.ru/sale/flat/307139286/,Химки,sale,flat,4,16,1,37.4,7350000.0,,Ленинградская ,20,Химки,
Премьер Плюс,real_estate_agent,https://khimki.cian.ru/sale/flat/306837294/,Химки,sale,flat,3,17,1,32.2,7400000.0,, Германа Титова,12к2,Химки,Солнечная система
Квартирный вопрос. Щелково,real_estate_agent,https://khimki.cian.ru/sale/flat/292704420/,Химки,sale,flat,9,12,1,44.6,7400000.0,, Жаринова,12,Подрезково,
Александра Волчек,realtor,https://khimki.cian.ru/sale/flat/301869699/,Химки,sale,flat,11,19,1,40.1,7400000.0,,Центральная ,4к1,Подрезково,Подрезково
Центр дистанционных торгов,real_estate_agent,https://khimki.cian.ru/sale/flat/302611182/,Химки,sale,flat,2,2,1,45.3,7350000.0,, Германа Титова,12к2,Химки,Солнечная система
Светлана Шор,realtor,https://khimki.cian.ru/sale/flat/305154669/,Химки,sale,flat,5,5,2,62.5,7390000.0,, Мичурина,6,Сходня,
ИНКОМ-Недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/308358031/,Химки,sale,flat,13,16,1,36.0,7490000.0,,проезд Тепличный,6,Сходня,Химки 2019
Алексей Булатников,realtor,https://khimki.cian.ru/sale/flat/304895649/,Химки,sale,flat,11,17,1,31.1,7450000.0,, Германа Титова,3к2,Химки,Две столицы
Денис Подгородный,realtor,https://khimki.cian.ru/sale/flat/273365236/,Химки,sale,flat,9,17,1,39.6,7450000.0,, 1-я Лесная,10к2,Подрезково,
Владис,real_estate_agent,https://khimki.cian.ru/sale/flat/307446891/,Химки,sale,flat,8,12,1,40.6,7500000.0,, Дружбы,6,Молжаниново,
Зодчий,real_estate_agent,https://khimki.cian.ru/sale/flat/307448051/,Химки,sale,flat,13,15,1,48.04,7500000.0,, Ленинградская,1,Сходня,Горный
Градомиръ,real_estate_agent,https://khimki.cian.ru/sale/flat/306832455/,Химки,sale,flat,12,17,1,43.8,7500000.0,, Микояна,23к1,Сходня,
Елена Сысойкина,realtor,https://khimki.cian.ru/sale/flat/307454206/,Химки,sale,flat,8,17,1,36.4,7500000.0,, Германа Титова,10,Молжаниново,Солнечная система
Профит,real_estate_agent,https://khimki.cian.ru/sale/flat/300031071/,Химки,sale,flat,6,16,1,42.2,7500000.0,,,9,Молжаниново,
Премьер Плюс,real_estate_agent,https://khimki.cian.ru/sale/flat/307023677/,Химки,sale,flat,1,3,2,40.0,7500000.0,, Опанасенко,14Ак2,Химки,
Евгений Николаев,realtor,https://khimki.cian.ru/sale/flat/297309144/,Химки,sale,flat,14,14,1,42.6,7500000.0,, 1-я Лесная,10к2,Подрезково,Подрезково
Екатерина Дрозд,realtor,https://khimki.cian.ru/sale/flat/303669619/,Химки,sale,flat,8,9,3,60.0,7500000.0,, Дружбы,8а,Молжаниново,
Династия Р,real_estate_agent,https://khimki.cian.ru/sale/flat/307402227/,Химки,sale,flat,17,17,1,38.5,7500000.0,, Марии Рубцовой,7,Молжаниново,
НАТАНИЭЛЬ,real_estate_agent,https://khimki.cian.ru/sale/flat/286545686/,Химки,sale,flat,1,17,1,48.0,7500000.0,,,19,Молжаниново,
Алексей Булатников,realtor,https://khimki.cian.ru/sale/flat/301994046/,Химки,sale,flat,2,10,1,31.8,7500000.0,, Германа Титова,2к1,Молжаниново,Солнечная система
Маргарита Грачева,realtor,https://khimki.cian.ru/sale/flat/306500008/,Химки,sale,flat,5,5,3,55.0,7500000.0,, Розы Люксембург,5,Химки,
НОВОСЁЛ,real_estate_agent,https://khimki.cian.ru/sale/flat/292243394/,Химки,sale,flat,12,17,1,33.0,7500000.0,, Германа Титова,8,Молжаниново,Солнечная система
Александр Дроздов,realtor,https://khimki.cian.ru/sale/flat/299224370/,Химки,sale,flat,5,5,2,42.4,7799999.0,, Кирова,6,Химки,
АВИЛОН,real_estate_agent,https://khimki.cian.ru/sale/flat/289904170/,Химки,sale,flat,21,23,1,37.1,7799000.0,, Академика Грушина,8,Речной вокзал,Лермонтов
Татьяна Хмель,realtor,https://khimki.cian.ru/sale/flat/307628010/,Химки,sale,flat,4,9,1,40.0,7800000.0,,проспект Мельникова,10,Молжаниново,
Наталия Каменская,realtor,https://khimki.cian.ru/sale/flat/306891721/,Химки,sale,flat,8,12,1,39.6,7900000.0,, Дружбы,6,Молжаниново,
Уютный Дом,real_estate_agent,https://khimki.cian.ru/sale/flat/307631781/,Химки,sale,flat,1,5,2,41.0,7990000.0,,Пролетарская ,1,Химки,
Бест офис на Таганской,real_estate_agent,https://khimki.cian.ru/sale/flat/306660141/,Химки,sale,flat,14,17,1,48.7,7990000.0,, Микояна,23к1,Сходня,
Павел Малышев,realtor,https://khimki.cian.ru/sale/flat/307195808/,Химки,sale,flat,7,19,1,45.5,7999000.0,, Мичурина,15,Сходня,Мичуринский квартал
Андрей Филимонов,realtor,https://khimki.cian.ru/sale/flat/306490107/,Химки,sale,flat,6,17,1,37.7,7900000.0,, Марии Рубцовой,7,Молжаниново,
СмениКварти.Ру,real_estate_agent,https://khimki.cian.ru/sale/flat/305966231/,Химки,sale,flat,1,16,1,37.5,7990000.0,,Юбилейный проспект,66,Химки,
Космополис,real_estate_agent,https://khimki.cian.ru/sale/flat/308383101/,Химки,sale,flat,9,9,2,45.1,7990000.0,, Юннатов,5,Химки,
Император,real_estate_agent,https://khimki.cian.ru/sale/flat/307572470/,Химки,sale,flat,13,17,1,33.3,7900000.0,, Германа Титова,14к2,Химки,Солнечная система
Император,real_estate_agent,https://khimki.cian.ru/sale/flat/308279183/,Химки,sale,flat,13,17,1,33.3,7900000.0,, Германа Титова,14к2,Химки,Солнечная система
ДОМОФОН,real_estate_agent,https://khimki.cian.ru/sale/flat/305458010/,Химки,sale,flat,10,16,2,59.6,7990000.0,,Юбилейный проезд,6,Сходня,
Альбина Маслова,realtor,https://khimki.cian.ru/sale/flat/295994225/,Химки,sale,flat,4,5,3,57.3,7900000.0,, Чапаева,17,Сходня,
ID 10069,real_estate_agent,https://khimki.cian.ru/sale/flat/307936421/,Химки,sale,flat,4,7,1,34.2,7990000.0,,проезд Набережный,25к1,Шереметьевская,
Риэлти-Город,real_estate_agent,https://khimki.cian.ru/sale/flat/293741121/,Химки,sale,flat,12,17,1,36.6,7990000.0,,,23,Молжаниново,Авиатор
Виталий Русаков,realtor,https://khimki.cian.ru/sale/flat/274747190/,Химки,sale,flat,8,9,2,44.9,8000000.0,, Мичурина,10,Химки,
ГОРОБМЕН,real_estate_agent,https://khimki.cian.ru/sale/flat/306856836/,Химки,sale,flat,5,9,1,33.6,8000000.0,, Летчика Ивана Федорова,2к2,Шереметьевская,
ИНКОМ-Недвижимость,real_estate_agent,https://khimki.cian.ru/sale/flat/308551563/,Химки,sale,flat,14,25,1,37.2,8000000.0,,Молодежная ,50,Молжаниново,
Империя,real_estate_agent,https://khimki.cian.ru/sale/flat/278511661/,Химки,sale,flat,9,16,1,42.3,8000000.0,мкр. Подрезково,Центральная ,4г,,Подрезково
